HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
BETÀNIA-PATMOS,2013,10.962,6.082,6.1,6.527,6.082,5.918,5.745,5.99,5.33,5.42,5.755,5.824,1.181,7.364,2.364,9.727,5.933,5.814,5.636,5.836,6.185,76.364,55.636,0.779,5.19,11,73
BETÀNIA-PATMOS,2014,10.911,5.58,5.91,5.84,6.03,4.86,4.81,4.71,5.32,5.71,4.15,5.292,1.262,7.9,2.1,10.0,5.252,5.58,5.87,4.505,5.909,74.4,60.0,0.834,4.982,10,77
BETÀNIA-PATMOS,2015,11.06,6.86,8.12,4.64,6.82,4.14,4.74,3.98,5.233,5.32,3.72,5.316,2.008,6.2,3.4,9.6,5.925,4.49,6.07,3.93,5.474,66.0,42.0,0.647,3.881,5,79
"CERVETO, ESCOLA",2010,11.013,5.8,5.7,5.567,5.6,5.667,5.0,4.467,4.767,5.5,3.9,5.197,1.35,6.333,3.667,10.0,5.242,5.167,5.55,4.783,6.064,82.5,60.0,0.728,4.403,3,112
"CERVETO, ESCOLA",2011,10.875,5.4,6.75,5.5,5.85,3.15,5.05,7.25,3.7,5.7,5.35,5.37,1.495,8.0,2.0,10.0,6.112,4.6,5.775,4.25,5.846,72.0,60.0,0.833,4.872,2,107
"CERVETO, ESCOLA",2012,10.802,4.0,2.7,1.2,4.1,0.0,5.7,2.6,6.6,7.7,0.7,3.53,2.57,3.0,7.0,10.0,3.75,3.9,5.9,0.35,6.017,115.5,60.0,0.519,3.126,1,174
"CERVETO, ESCOLA",2013,11.738,6.05,5.55,7.45,7.1,5.2,5.1,6.2,4.85,6.05,4.4,5.795,1.415,7.5,2.5,10.0,5.725,6.15,6.575,4.8,6.74,78.75,60.0,0.808,5.542,2,62
"CERVETO, ESCOLA",2014,11.884,7.6,6.4,7.5,8.7,6.5,7.0,6.1,7.0,10.0,8.7,7.55,1.24,10.0,0.0,10.0,6.775,7.25,9.35,7.6,7.518,60.0,60.0,1.0,7.518,1,8
"CERVETO, ESCOLA",2015,11.324,5.9,7.1,4.5,8.6,1.6,,5.3,6.5,6.1,2.0,5.29,2.29,6.0,3.0,9.0,6.1,5.5,7.35,1.8,5.068,66.0,40.5,0.614,3.11,1,115
"SUNION, INST.CULTURAL CATALANA",2010,10.644,4.5,5.15,3.75,5.15,3.525,4.375,4.525,3.65,4.375,5.925,4.493,1.422,5.5,4.5,10.0,4.638,3.7,4.762,4.725,6.13,92.25,60.0,0.703,4.327,4,115
"SUNION, INST.CULTURAL CATALANA",2011,10.811,4.067,5.0,3.633,3.667,6.167,4.6,4.4,5.7,7.2,6.467,4.737,1.593,5.333,3.333,8.667,4.083,3.967,4.317,6.317,4.987,83.0,40.5,0.543,3.257,3,151
"SUNION, INST.CULTURAL CATALANA",2012,11.563,5.783,5.717,5.533,6.85,6.033,6.033,5.35,6.533,6.883,5.433,6.015,1.213,8.5,1.5,10.0,5.721,6.033,6.867,5.733,6.332,70.0,60.0,0.871,5.57,6,59
"SUNION, INST.CULTURAL CATALANA",2013,12.307,7.8,8.5,7.15,8.55,10.0,7.4,7.75,7.15,5.9,7.95,7.815,1.29,10.0,0.0,10.0,7.862,7.15,7.225,8.975,7.866,60.0,60.0,1.0,7.866,2,4
"SUNION, INST.CULTURAL CATALANA",2014,10.411,5.233,6.033,5.4,5.367,6.9,4.633,4.033,5.567,4.1,5.533,5.28,1.083,7.333,2.667,10.0,4.983,5.483,4.733,6.217,5.799,75.0,60.0,0.818,4.77,3,86
"SUNION, INST.CULTURAL CATALANA",2015,11.692,6.2,2.2,4.1,5.0,3.6,4.0,4.5,,3.2,5.1,4.21,1.17,3.0,6.0,9.0,4.225,4.1,4.1,4.35,4.598,66.0,31.5,0.477,2.194,1,149
SANT IGNASI- SARRIÀ,2010,10.483,5.765,6.829,5.741,6.853,4.959,5.206,5.882,5.276,6.782,5.465,5.876,1.466,8.353,1.647,10.0,5.921,5.509,6.818,5.212,6.313,70.147,58.147,0.854,5.492,17,59
