HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
SANT GABRIEL-SANT ADRIÀ,11.196,6.05,5.066,6.216,7.267,8.1,6.1,5.35,5.334,6.267,5.766,6.152,1.301,8.334,1.666,10.0,5.642,5.775,6.766,6.934,6.182,61.0,50.25,0.822,5.212,2.0,55.5
JAUME BALMES,11.287,6.35,5.35,4.775,6.925,5.85,4.425,3.85,5.55,4.625,3.575,5.047,1.495,6.25,3.5,9.75,4.994,4.8,5.775,4.712,5.406,72.0,47.625,0.66,3.757,2.0,117.0
INST.LLAVANERES,11.434,4.166,5.267,4.95,5.966,6.634,4.6,2.9,4.0,6.625,6.55,4.895,1.656,6.0,3.166,9.166,3.996,4.308,5.808,6.366,5.13,63.0,44.0,0.66,3.941,2.0,112.5
INST.LACETÀNIA,11.877,5.6,5.6,4.8,6.25,7.2,4.4,4.3,4.55,6.4,4.75,5.385,1.375,6.5,3.5,10.0,4.975,4.675,6.325,5.975,5.575,75.75,38.25,0.59,3.862,2.0,119.0
INST.LA GARROTXA,10.952,5.933,5.833,5.433,6.15,4.95,5.483,4.083,4.967,5.183,5.1,5.313,1.342,7.333,2.333,9.667,5.333,5.375,5.667,4.625,5.507,66.75,51.75,0.787,4.458,2.0,89.667
INST.VINYET,11.403,3.65,3.55,2.3,1.65,1.35,3.2,0.9,5.0,6.0,5.0,2.55,1.305,2.5,5.0,7.5,2.762,2.875,2.325,2.025,3.348,63.0,30.0,0.312,1.908,2.0,166.0
INST.REGUISSOL,11.283,6.0,4.2,4.55,4.6,4.25,6.0,5.6,5.75,6.35,5.95,5.325,1.12,8.0,2.0,10.0,5.45,5.15,5.475,5.1,6.2,72.0,60.0,0.857,5.314,2.0,69.0
INST.RAMON COLL I RODÉS,11.03,5.875,4.825,5.325,5.425,6.725,5.5,4.25,5.075,6.075,5.125,5.42,1.128,7.75,2.25,10.0,5.112,5.2,5.75,5.925,5.606,73.125,52.125,0.813,4.916,2.0,88.5
INST.ROVIRA-FORNS,10.215,5.55,2.3,2.8,1.6,2.0,2.45,,,5.2,5.25,3.39,1.845,2.5,5.5,8.0,3.433,2.8,3.4,3.625,2.992,57.0,18.0,0.322,0.998,2.0,178.0
LA SALLE MANRESA,10.753,4.428,5.228,4.706,6.089,4.933,5.794,4.9,5.289,5.856,5.406,5.263,1.024,7.444,2.556,10.0,5.087,4.997,5.972,5.169,5.777,77.583,60.0,0.793,4.613,2.0,100.667
VEDRUNA-MALGRAT DE MAR,11.237,3.3,4.45,4.1,4.3,6.15,6.3,3.15,2.65,3.65,6.0,4.405,1.77,4.5,5.5,10.0,4.3,3.375,3.975,6.075,5.99,101.25,60.0,0.6,3.594,2.0,162.0
BIENAVENTURADA VIRGEN MARÍA,11.117,6.5,6.0,4.85,6.95,6.25,5.55,6.3,6.0,6.1,3.85,5.835,1.105,9.0,1.0,10.0,6.088,5.425,6.525,5.05,6.04,66.75,60.0,0.899,5.431,2.0,61.0
INST.LEONARDO DA VINCI,10.898,8.1,9.0,6.85,6.05,6.95,7.25,8.6,6.25,6.65,6.95,7.265,1.225,10.0,0.0,10.0,8.238,6.55,6.35,6.95,7.272,60.0,60.0,1.0,7.272,2.0,8.0
INST.JOAN GUINJOAN I GISPERT,11.311,5.9,6.8,5.85,7.9,7.0,5.3,4.75,4.7,7.5,4.75,6.045,1.505,8.0,2.0,10.0,5.688,5.275,7.7,5.875,6.483,72.75,60.0,0.851,5.633,2.0,53.0
INST.L'ALZINA,11.24,5.1,6.4,4.85,7.3,5.35,4.6,5.1,4.5,6.2,6.25,5.565,1.14,7.0,3.0,10.0,5.3,4.675,6.75,5.8,6.17,78.75,60.0,0.768,4.75,2.0,94.0
INST.VENTURA GASSOL,11.23,7.6,6.05,3.9,5.3,6.45,3.85,5.2,4.7,4.8,6.5,5.435,1.925,6.0,4.0,10.0,5.675,4.3,5.05,6.475,5.978,69.0,42.75,0.641,3.959,2.0,77.0
BELL-LLOC DEL PLA,11.206,6.254,6.083,6.183,6.696,6.046,5.783,4.608,5.062,5.954,6.196,5.887,1.141,8.875,1.125,10.0,5.682,5.623,6.325,6.121,6.098,65.125,58.5,0.908,5.577,2.0,50.5
INST.SANT RAMON,10.941,5.3,5.75,3.65,6.05,7.5,4.7,4.25,1.8,4.25,5.3,4.855,1.86,6.5,3.5,10.0,5.0,2.725,5.15,6.4,6.032,83.25,60.0,0.724,4.368,2.0,113.0
INST.JAUME BALMES,11.29,6.138,5.925,6.129,6.488,6.904,5.621,6.192,4.604,5.754,6.579,6.013,1.178,8.625,1.25,9.875,5.906,5.367,6.121,6.742,6.097,62.25,54.938,0.887,5.516,2.0,54.0
"PINEDA, CENTRE CULTURAL",11.514,5.533,6.05,4.889,6.061,2.711,4.989,5.067,5.317,6.706,4.55,5.128,1.68,6.778,3.0,9.778,5.356,4.914,6.383,3.631,5.916,77.833,54.667,0.733,4.606,2.0,83.667
