Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
JESUS I MARIA - SANT GERVASI,Privat,"Pg. de Sant Gervasi, 15",8022,Barcelonès,13,Barcelona,8019
ESCORIAL,Privat,"C. Santa Joaquima de Vedruna, 6",8500,Osona,24,Vic,8298
SANT MIQUEL DELS SANTS,Privat,"C. Jaume I, 11",8500,Osona,24,Vic,8298
FREDERIC MISTRAL-TÈCNIC EULÀLI,Privat,"C. Lluís Muntadas, 3-5-7",8035,Barcelonès,13,Barcelona,8019
INST.ERNEST LLUCH,Públic,"C. Diputació, 15",8015,Barcelonès,13,Barcelona,8019
AGORA SANT CUGAT IS,Privat,"C. Ferrer i Guàrdia, s/n",8174,Vallès Occidental,40,Sant Cugat del Vallès,8205
INST.SECRETARI COLOMA,Públic,"C. Secretari Coloma, 25",8025,Barcelonès,13,Barcelona,8019
ESC.PROF.SALESIANA,Privat,"Pg. Sant Joan Bosco, 42",8017,Barcelonès,13,Barcelona,8019
INST.MERCÈ RODOREDA,Públic,"Rbla. Marina, 393",8907,Barcelonès,13,L'Hospitalet de Llobregat,8101
"MONTSERRAT, COL·LEGI",Privat,"Av. Vallvidrera, 68",8017,Barcelonès,13,Barcelona,8019
INST.JAUME CALLÍS,Públic,"Av. Olímpia, 2",8500,Osona,24,Vic,8298
SAGRADO CORAZÓN-EDUARDO CONDE,Privat,"C. Eduard Conde, 17-23",8034,Barcelonès,13,Barcelona,8019
INST.VALLDEMOSSA,Públic,"C. Pintor Alsamora, 7-9",8016,Barcelonès,13,Barcelona,8019
SEK-CATALUNYA,Privat,"Av. els Tremolencs, 24-26",8530,Vallès Oriental,41,La Garriga,8088
JESUÏTES CASP-SAGRATCORDEJESÚS,Privat,"C. Casp, 25",8010,Barcelonès,13,Barcelona,8019
IPSI(INST.PEDAG. SANT ISIDOR),Privat,"C. Comte Borrell, 243-249",8029,Barcelonès,13,Barcelona,8019
SANT GREGORI,Privat,"C. Carles Riba, 11-15",8035,Barcelonès,13,Barcelona,8019
SANTA TERESA - GANDUXER,Privat,"C. Ganduxer, 85-105",8022,Barcelonès,13,Barcelona,8019
PROA,Privat,"C. Almeria, 57",8014,Barcelonès,13,Barcelona,8019
INST.PAU VILA,Públic,"C. Viladomat, 118",8205,Vallès Occidental,40,Sabadell,8187
ESCOLA PIA DE VILANOVA I LA G.,Privat,"Rbla. Sama, 114-116",8800,Garraf,17,Vilanova i la Geltrú,8307
INST.M E.INTERMUN.DEL PENEDES,Públic,"Pl. Santiago Rusiñol, s/n",8770,Alt Penedès,3,Sant Sadurní d'Anoia,8240
TALLER GINEBRO,Privat,C. Joaquim Costa (Perllongament),8450,Vallès Oriental,41,Llinars del Vallès,8106
ESCOLA L'ESPERANÇA,Privat,"C. Quito, 25-37",8030,Barcelonès,13,Barcelona,8019
LA FARGA,Privat,"Ctra. de Sant Cugat a El Papiol, 36-46",8195,Vallès Occidental,40,Sant Cugat del Vallès,8205
SANT MIQUEL,Privat,"C. Rosselló, 175",8036,Barcelonès,13,Barcelona,8019
JOAN XXIII - HOSPITALET LL,Privat,"Av.Mare de Déu de Bellvitge,100-110",8907,Barcelonès,13,L'Hospitalet de Llobregat,8101
"PINEDA, CENTRE CULTURAL",Privat,"C. dels Joncs, 1",8905,Barcelonès,13,L'Hospitalet de Llobregat,8101
INST.MANUEL DE CABANYES,Públic,"Av. Francesc Macià, 110-114",8800,Garraf,17,Vilanova i la Geltrú,8307
LLOR,Privat,"C. Lluís Companys, 50",8830,Baix Llobregat,11,Sant Boi de Llobregat,8200
INST.MILA I FONTANALS-VILAFR.,Públic,"C. Torrelles de Foix, s/n",8720,Alt Penedès,3,Vilafranca del Penedès,8305
BELL-LLOC DEL PLA,Privat,"Can Pau Birol, 2-6",17005,Gironès,20,Girona,17079
MARISTES LES CORTS,Privat,"C. Vallespir, 160",8014,Barcelonès,13,Barcelona,8019
INST.JAUME VICENS VIVES,Públic,"C. Ferràndiz i de Bellés, s/n",17004,Gironès,20,Girona,17079
INST.ANTONI MARTÍ I FRANQUÈS,Públic,"C. Enric d'Ossó, 3",43005,Tarragonès,36,Tarragona,43148
INST.M MIQUEL BIADA,Públic,"C. Puig i Cadafalch, 89",8303,Maresme,21,Mataró,8121
PARE MANYANET,Privat,"Travessera de les Corts, 331",8029,Barcelonès,13,Barcelona,8019
BON SOLEIL,Privat,"Camí de la Pava, 15",8850,Baix Llobregat,11,Gavà,8089
"MONTAGUT, ESCOLA",Privat,"C. Amàlia Soler, 169",8720,Alt Penedès,3,Vilafranca del Penedès,8305
INST.ABAT OLIBA,Públic,"Ctra. Barcelona, 57",17500,Ripollès,31,Ripoll,17147
